epoch,Acc,Loss,Error,LR,model
3,0.6292,0.6289,,0.01,resnet-18
4,0.6578,0.6035,,0.01,resnet-18
5,0.6784,0.5912,,0.01,resnet-18
6,0.6961,0.5727,,0.01,resnet-18
7,0.7353,0.5261,,0.01,resnet-18
8,0.7457,0.513,,0.01,resnet-18
9,0.7501,0.5035,,0.01,resnet-18
10,0.7491,0.5078,,0.01,resnet-18
11,0.7585,0.4948,,0.01,resnet-18
12,0.7732,0.4771,,0.01,resnet-18
13,0.7846,0.4467,,0.01,resnet-18
14,0.7775,0.4722,,0.01,resnet-18
15,0.7814,0.4714,,0.01,resnet-18
16,0.7821,0.4704,,0.01,resnet-18
17,0.7857,0.461,,0.01,resnet-18
18,0.789,0.4563,,0.01,resnet-18
19,0.7863,0.4581,,0.01,resnet-18
20,0.7841,0.4637,,0.01,resnet-18
21,0.79,0.4566,,0.01,resnet-18
22,0.7926,0.4512,,0.01,resnet-18
23,0.788,0.4601,,0.01,resnet-18
0,0.5207,1.0268,,0.1,resnet-18
1,0.5215,0.7115,,0.1,resnet-18
2,0.5449,0.6969,,0.1,resnet-18
3,0.5488,0.6924,,0.1,resnet-18
4,0.5519,0.6971,,0.1,resnet-18
5,0.5672,0.6817,,0.1,resnet-18
6,0.5724,0.6701,,0.1,resnet-18
7,0.6145,0.6432,,0.1,resnet-18
8,0.621,0.6351,,0.1,resnet-18
9,0.6287,0.6336,,0.1,resnet-18
10,0.6407,0.6218,,0.1,resnet-18
11,0.6597,0.614,,0.1,resnet-18
12,0.658,0.6134,,0.1,resnet-18
13,0.6658,0.6064,,0.1,resnet-18
14,0.67,0.5981,,0.1,resnet-18
15,0.6709,0.5998,,0.1,resnet-18
16,0.6697,0.5986,,0.1,resnet-18
17,0.6729,0.598,,0.1,resnet-18
18,0.6773,0.5971,,0.1,resnet-18
19,0.6727,0.5932,,0.1,resnet-18
20,0.6725,0.595,,0.1,resnet-18
21,0.6749,0.5888,,0.1,resnet-18
22,0.6776,0.5914,,0.1,resnet-18
23,0.6737,0.592,,0.1,resnet-18
0,0.5005,1.0836,,0.2,resnet-18
1,0.5098,0.7563,,0.2,resnet-18
2,0.5322,0.741,,0.2,resnet-18
3,0.5408,0.7219,,0.2,resnet-18
4,0.5474,0.7231,,0.2,resnet-18
5,0.5456,0.7297,,0.2,resnet-18
6,0.5567,0.7155,,0.2,resnet-18
7,0.5861,0.6528,,0.2,resnet-18
8,0.5867,0.6525,,0.2,resnet-18
9,0.5974,0.6486,,0.2,resnet-18
10,0.6011,0.6459,,0.2,resnet-18
11,0.5978,0.6502,,0.2,resnet-18
12,0.6144,0.6419,,0.2,resnet-18
13,0.6123,0.6461,,0.2,resnet-18
14,0.6273,0.632,,0.2,resnet-18
15,0.643,0.6264,,0.2,resnet-18
16,0.6525,0.6247,,0.2,resnet-18
17,0.6418,0.6262,,0.2,resnet-18
18,0.6352,0.628,,0.2,resnet-18
19,0.6386,0.6281,,0.2,resnet-18
20,0.6479,0.6213,,0.2,resnet-18
21,0.644,0.6239,,0.2,resnet-18
22,0.6495,0.6215,,0.2,resnet-18
23,0.6526,0.618,,0.2,resnet-18
0,0.5031,0.9623,,0.2,resnet-32
1,0.5079,0.7556,,0.2,resnet-32
2,0.512,0.7465,,0.2,resnet-32
3,0.5437,0.7391,,0.2,resnet-32
4,0.5541,0.7261,,0.2,resnet-32
5,0.5604,0.7123,,0.2,resnet-32
6,0.5656,0.7048,,0.2,resnet-32
7,0.5966,0.6446,,0.2,resnet-32
8,0.6158,0.6332,,0.2,resnet-32
9,0.6137,0.6385,,0.2,resnet-32
10,0.6282,0.6276,,0.2,resnet-32
11,0.622,0.626,,0.2,resnet-32
12,0.6248,0.6281,,0.2,resnet-32
13,0.6311,0.6247,,0.2,resnet-32
14,0.6279,0.6238,,0.2,resnet-32
15,0.6317,0.6202,,0.2,resnet-32
16,0.6356,0.6196,,0.2,resnet-32
17,0.6371,0.6143,,0.2,resnet-32
18,0.6434,0.614,,0.2,resnet-32
19,0.6356,0.6195,,0.2,resnet-32
20,0.6368,0.6157,,0.2,resnet-32
21,0.6343,0.6147,,0.2,resnet-32
22,0.6375,0.6175,,0.2,resnet-32
23,0.6464,0.6106,,0.2,resnet-32
0,0.5075,0.8819,,0.1,resnet-32
1,0.5386,0.7063,,0.1,resnet-32
2,0.564,0.6894,,0.1,resnet-32
3,0.6112,0.6574,,0.1,resnet-32
4,0.6269,0.6482,,0.1,resnet-32
5,0.6391,0.6295,,0.1,resnet-32
6,0.662,0.609,,0.1,resnet-32
7,0.7012,0.5719,,0.1,resnet-32
8,0.7039,0.5671,,0.1,resnet-32
9,0.7112,0.56,,0.1,resnet-32
10,0.7168,0.5512,,0.1,resnet-32
11,0.7122,0.5595,,0.1,resnet-32
12,0.7185,0.5531,,0.1,resnet-32
13,0.7184,0.5531,,0.1,resnet-32
14,0.7216,0.5485,,0.1,resnet-32
15,0.7313,0.5362,,0.1,resnet-32
16,0.7243,0.5411,,0.1,resnet-32
17,0.7216,0.5445,,0.1,resnet-32
18,0.7224,0.5416,,0.1,resnet-32
19,0.7297,0.5392,,0.1,resnet-32
20,0.7273,0.5412,,0.1,resnet-32
21,0.7284,0.5364,,0.1,resnet-32
22,0.7188,0.5472,,0.1,resnet-32
23,0.724,0.5446,,0.1,resnet-32
0,0.5283,0.8568,,0.01,resnet-32
1,0.568,0.6648,,0.01,resnet-32
2,0.6065,0.6489,,0.01,resnet-32
3,0.6191,0.6344,,0.01,resnet-32
4,0.6358,0.6253,,0.01,resnet-32
5,0.6527,0.6127,,0.01,resnet-32
6,0.6749,0.5969,,0.01,resnet-32
7,0.7048,0.5657,,0.01,resnet-32
8,0.7073,0.5594,,0.01,resnet-32
9,0.715,0.5524,,0.01,resnet-32
10,0.7324,0.5366,,0.01,resnet-32
11,0.7289,0.5284,,0.01,resnet-32
12,0.7362,0.5304,,0.01,resnet-32
